Country,Region,Happiness Rank,Happiness Score
Switzerland,Western Europe,1,7.587
Iceland,Western Europe,2,7.561
Denmark,Western Europe,3,7.527
Norway,Western Europe,4,7.522
Canada,North America,5,7.427
Finland,Western Europe,6,7.406
Netherlands,Western Europe,7,7.378
Sweden,Western Europe,8,7.364
New Zealand,Australia and New Zealand,9,7.286
Australia,Australia and New Zealand,10,7.284
Israel,Middle East and Northern Africa,11,7.278
Costa Rica,Latin America and Caribbean,12,7.226
Austria,Western Europe,13,7.2
Mexico,Latin America and Caribbean,14,7.187
United States,North America,15,7.119
Brazil,Latin America and Caribbean,16,6.983
Luxembourg,Western Europe,17,6.946
Ireland,Western Europe,18,6.94
Belgium,Western Europe,19,6.937
United Arab Emirates,Middle East and Northern Africa,20,6.901
United Kingdom,Western Europe,21,6.867
Oman,Middle East and Northern Africa,22,6.853
Venezuela,Latin America and Caribbean,23,6.81
Singapore,Southeastern Asia,24,6.798
Panama,Latin America and Caribbean,25,6.786
Germany,Western Europe,26,6.75
Chile,Latin America and Caribbean,27,6.67
Qatar,Middle East and Northern Africa,28,6.611
France,Western Europe,29,6.575
Argentina,Latin America and Caribbean,30,6.574
Czech Republic,Central and Eastern Europe,31,6.505
Uruguay,Latin America and Caribbean,32,6.485
Colombia,Latin America and Caribbean,33,6.477
Thailand,Southeastern Asia,34,6.455
Saudi Arabia,Middle East and Northern Africa,35,6.411
Spain,Western Europe,36,6.329
Malta,Western Europe,37,6.302
Taiwan,Eastern Asia,38,6.298
Kuwait,Middle East and Northern Africa,39,6.295
Suriname,Latin America and Caribbean,40,6.269
Trinidad and Tobago,Latin America and Caribbean,41,6.168
El Salvador,Latin America and Caribbean,42,6.13
Guatemala,Latin America and Caribbean,43,6.123
Uzbekistan,Central and Eastern Europe,44,6.003
Slovakia,Central and Eastern Europe,45,5.995
Japan,Eastern Asia,46,5.987
South Korea,Eastern Asia,47,5.984
Ecuador,Latin America and Caribbean,48,5.975
Bahrain,Middle East and Northern Africa,49,5.96
Italy,Western Europe,50,5.948
Bolivia,Latin America and Caribbean,51,5.89
Moldova,Central and Eastern Europe,52,5.889
Paraguay,Latin America and Caribbean,53,5.878
Kazakhstan,Central and Eastern Europe,54,5.855
Slovenia,Central and Eastern Europe,55,5.848
Lithuania,Central and Eastern Europe,56,5.833
Nicaragua,Latin America and Caribbean,57,5.828
Peru,Latin America and Caribbean,58,5.824
Belarus,Central and Eastern Europe,59,5.813
Poland,Central and Eastern Europe,60,5.791
Malaysia,Southeastern Asia,61,5.77
Croatia,Central and Eastern Europe,62,5.759
Libya,Middle East and Northern Africa,63,5.754
Russia,Central and Eastern Europe,64,5.716
Jamaica,Latin America and Caribbean,65,5.709
North Cyprus,Western Europe,66,5.695
Cyprus,Western Europe,67,5.689
Algeria,Middle East and Northern Africa,68,5.605
Kosovo,Central and Eastern Europe,69,5.589
Turkmenistan,Central and Eastern Europe,70,5.548
Mauritius,Sub-Saharan Africa,71,5.477
Hong Kong,Eastern Asia,72,5.474
Estonia,Central and Eastern Europe,73,5.429
Indonesia,Southeastern Asia,74,5.399
Vietnam,Southeastern Asia,75,5.36
Turkey,Middle East and Northern Africa,76,5.332
Kyrgyzstan,Central and Eastern Europe,77,5.286
Nigeria,Sub-Saharan Africa,78,5.268
Bhutan,Southern Asia,79,5.253
Azerbaijan,Central and Eastern Europe,80,5.212
Pakistan,Southern Asia,81,5.194
Jordan,Middle East and Northern Africa,82,5.192
Montenegro,Central and Eastern Europe,82,5.192
China,Eastern Asia,84,5.14
Zambia,Sub-Saharan Africa,85,5.129
Romania,Central and Eastern Europe,86,5.124
Serbia,Central and Eastern Europe,87,5.123
Portugal,Western Europe,88,5.102
Latvia,Central and Eastern Europe,89,5.098
Philippines,Southeastern Asia,90,5.073
Somaliland region,Sub-Saharan Africa,91,5.057
Morocco,Middle East and Northern Africa,92,5.013
Macedonia,Central and Eastern Europe,93,5.007
Mozambique,Sub-Saharan Africa,94,4.971
Albania,Central and Eastern Europe,95,4.959
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949
Lesotho,Sub-Saharan Africa,97,4.898
Dominican Republic,Latin America and Caribbean,98,4.885
Laos,Southeastern Asia,99,4.876
Mongolia,Eastern Asia,100,4.874
Swaziland,Sub-Saharan Africa,101,4.867
Greece,Western Europe,102,4.857
Lebanon,Middle East and Northern Africa,103,4.839
Hungary,Central and Eastern Europe,104,4.8
Honduras,Latin America and Caribbean,105,4.788
Tajikistan,Central and Eastern Europe,106,4.786
Tunisia,Middle East and Northern Africa,107,4.739
Palestinian Territories,Middle East and Northern Africa,108,4.715
Bangladesh,Southern Asia,109,4.694
Iran,Middle East and Northern Africa,110,4.686
Ukraine,Central and Eastern Europe,111,4.681
Iraq,Middle East and Northern Africa,112,4.677
South Africa,Sub-Saharan Africa,113,4.642
Ghana,Sub-Saharan Africa,114,4.633
Zimbabwe,Sub-Saharan Africa,115,4.61
Liberia,Sub-Saharan Africa,116,4.571
India,Southern Asia,117,4.565
Sudan,Sub-Saharan Africa,118,4.55
Haiti,Latin America and Caribbean,119,4.518
Congo (Kinshasa),Sub-Saharan Africa,120,4.517
Nepal,Southern Asia,121,4.514
Ethiopia,Sub-Saharan Africa,122,4.512
Sierra Leone,Sub-Saharan Africa,123,4.507
Mauritania,Sub-Saharan Africa,124,4.436
Kenya,Sub-Saharan Africa,125,4.419
Djibouti,Sub-Saharan Africa,126,4.369
Armenia,Central and Eastern Europe,127,4.35
Botswana,Sub-Saharan Africa,128,4.332
Myanmar,Southeastern Asia,129,4.307
Georgia,Central and Eastern Europe,130,4.297
Malawi,Sub-Saharan Africa,131,4.292
Sri Lanka,Southern Asia,132,4.271
Cameroon,Sub-Saharan Africa,133,4.252
Bulgaria,Central and Eastern Europe,134,4.218
Egypt,Middle East and Northern Africa,135,4.194
Yemen,Middle East and Northern Africa,136,4.077
Angola,Sub-Saharan Africa,137,4.033
Mali,Sub-Saharan Africa,138,3.995
Congo (Brazzaville),Sub-Saharan Africa,139,3.989
Comoros,Sub-Saharan Africa,140,3.956
Uganda,Sub-Saharan Africa,141,3.931
Senegal,Sub-Saharan Africa,142,3.904
Gabon,Sub-Saharan Africa,143,3.896
Niger,Sub-Saharan Africa,144,3.845
Cambodia,Southeastern Asia,145,3.819
Tanzania,Sub-Saharan Africa,146,3.781
Madagascar,Sub-Saharan Africa,147,3.681
