Country,Region,Happiness Rank,Happiness Score
Iceland,Western Europe,2,7.561
Norway,Western Europe,4,7.522
Finland,Western Europe,6,7.406
Netherlands,Western Europe,7,7.378
Sweden,Western Europe,8,7.364
Israel,Middle East and Northern Africa,11,7.278
Austria,Western Europe,13,7.2
Mexico,Latin America and Caribbean,14,7.187
United States,North America,15,7.119
Brazil,Latin America and Caribbean,16,6.983
Luxembourg,Western Europe,17,6.946
Belgium,Western Europe,19,6.937
United Kingdom,Western Europe,21,6.867
Singapore,Southeastern Asia,24,6.798
Germany,Western Europe,26,6.75
Chile,Latin America and Caribbean,27,6.67
Argentina,Latin America and Caribbean,30,6.574
Czech Republic,Central and Eastern Europe,31,6.505
Colombia,Latin America and Caribbean,33,6.477
Spain,Western Europe,36,6.329
Malta,Western Europe,37,6.302
Guatemala,Latin America and Caribbean,43,6.123
Japan,Eastern Asia,46,5.987
Ecuador,Latin America and Caribbean,48,5.975
Italy,Western Europe,50,5.948
Kazakhstan,Central and Eastern Europe,54,5.855
Turkmenistan,Central and Eastern Europe,70,5.548
Mauritius,Sub-Saharan Africa,71,5.477
Kyrgyzstan,Central and Eastern Europe,77,5.286
Romania,Central and Eastern Europe,86,5.124
Greece,Western Europe,102,4.857
