country,age,sex,MDS_x,MDS_y,tsne_x,tsne_y,scluster9,kmeans6
Argentina,15-24 years,female,-2.21433154585444,-3.607514102412379,7.4093566,-34.809685,8,1
Argentina,15-24 years,male,1.3243122155180178,-3.6045479497665474,-33.85594,-6.2730427,8,3
Argentina,25-34 years,female,-2.6945951055891,-3.6108705089617827,8.382995,-35.745922,8,1
Argentina,25-34 years,male,0.5335889665172824,-3.5940429809800762,-34.058903,-7.087693,8,3
Argentina,35-54 years,female,-2.499034648814791,-3.6135620763811835,8.452588,-35.04384,8,1
Argentina,35-54 years,male,0.09526794356786175,-3.584986758629436,-34.905506,-9.598106,8,1
Argentina,5-14 years,female,-3.4209468945125967,-3.6161272871042285,10.110224,-43.260418,8,1
Argentina,5-14 years,male,-3.353156058677042,-3.6122545712316,10.108753,-43.23844,8,1
Argentina,55-74 years,female,-2.3574694957211815,-3.6131619413420717,8.700555,-34.314587,8,1
Argentina,55-74 years,male,1.9169857121493605,-3.6012064079686135,-39.353996,-0.16056271,8,3
Argentina,75+ years,female,-2.418990241668084,-3.6133711540895646,9.351573,-34.03059,8,1
Argentina,75+ years,male,6.604776588958719,-3.6071818727276477,-14.010939,3.375814,8,3
Austria,15-24 years,female,-2.5245141516318492,3.228415919301027,15.777262,2.2018957,6,0
Austria,15-24 years,male,1.3020437598586898,3.248086303241378,30.225525,25.164858,6,0
Austria,25-34 years,female,-2.128737372391136,3.224688784140424,15.657816,2.6196718,6,0
Austria,25-34 years,male,2.288094897838486,3.229334635631966,44.4837,18.488394,6,4
Austria,35-54 years,female,-1.0096341307836938,3.231323078732939,19.489534,12.828398,6,0
Austria,35-54 years,male,4.761685402132151,3.219247087470197,49.147514,15.570127,6,4
Austria,5-14 years,female,-3.530376815042633,3.202837293049885,16.065998,-8.699544,6,0
Austria,5-14 years,male,-3.4485502791002562,3.2043143587909917,15.993007,-8.687447,6,0
Austria,55-74 years,female,-0.09535198579305877,3.2454162297644196,24.959454,20.322187,6,0
Austria,55-74 years,male,7.302269221341572,3.2978843511157208,56.331833,5.1556897,6,4
Austria,75+ years,female,1.9852977362412298,3.232598686755981,44.023994,18.55787,6,0
Austria,75+ years,male,20.97099615472315,3.69478655159094,60.536564,-15.367085,2,2
Belgium,15-24 years,female,-2.2078443700121855,2.7295784431581285,14.539321,2.0240865,6,0
Belgium,15-24 years,male,1.1082203404259423,2.7422410700215263,29.07163,24.658802,6,0
Belgium,25-34 years,female,-1.4158459076139827,2.737898871500999,18.028994,11.603623,6,0
Belgium,25-34 years,male,4.285981916533736,2.730991422204986,48.531757,15.895924,6,4
Belgium,35-54 years,female,0.6701515901951127,2.7526327468270995,27.42907,23.14111,6,0
Belgium,35-54 years,male,7.3775143106257355,2.742619318664332,55.191265,6.9474835,6,4
Belgium,5-14 years,female,-3.483461627721277,2.7131076304830737,13.769747,-8.422429,6,0
Belgium,5-14 years,male,-3.3872267811887853,2.7145485373496503,13.682646,-8.465516,6,0
Belgium,55-74 years,female,0.5959343143077835,2.752210094020066,27.407154,23.013437,6,0
Belgium,55-74 years,male,5.897779540445277,2.7650740306472965,54.774227,7.640738,6,4
Belgium,75+ years,female,0.1958175158286471,2.7546619698499732,25.877281,21.781359,6,0
Belgium,75+ years,male,12.64348654948044,2.9550336047171304,58.65816,-1.7829047,4,4
Brazil,15-24 years,female,-2.915733967412639,-4.114232374856308,-1.739992,-44.2956,8,1
Brazil,15-24 years,male,-1.5520738882525271,-4.078492739114441,-33.40529,-26.728542,8,1
Brazil,25-34 years,female,-2.892786337620243,-4.112684367561794,-1.6729393,-43.5837,8,1
Brazil,25-34 years,male,-0.7006365831003513,-4.060607743124529,-33.579952,-12.755906,8,1
Brazil,35-54 years,female,-2.7312585221286207,-4.1081662009746704,-3.0638647,-43.480995,8,1
Brazil,35-54 years,male,-0.4784115521472373,-4.059470021335259,-33.87562,-12.312985,8,1
Brazil,5-14 years,female,-3.4500666209368265,-4.12482855980162,3.7115932,-48.033627,8,1
Brazil,5-14 years,male,-3.4350768236869276,-4.12429182950426,3.6989741,-48.035168,8,1
Brazil,55-74 years,female,-2.796598140349673,-4.109579183711106,-2.3743677,-43.201538,8,1
Brazil,55-74 years,male,-0.11225557567968823,-4.057347818532534,-34.35676,-11.506722,8,1
Brazil,75+ years,female,-2.8330917198416183,-4.11173618709901,-2.6285841,-44.40853,8,1
Brazil,75+ years,male,1.7759928352125978,-4.048479477479,-40.34086,-0.6581555,8,3
Chile,15-24 years,female,-2.1904292062812907,-3.6584886755967814,-0.2292887,-34.6333,8,1
Chile,15-24 years,male,1.4531695934315085,-3.617052592091987,-33.687614,-5.387565,8,3
Chile,25-34 years,female,-2.3075226406803475,-3.658354948684173,0.053013027,-35.234608,8,1
Chile,25-34 years,male,2.764214892732886,-3.6013505191345905,-32.276535,-1.1359589,8,3
Chile,35-54 years,female,-2.1868637470328744,-3.652196262580093,0.5013088,-34.681858,8,1
Chile,35-54 years,male,2.9110632550094255,-3.6001343715296867,-31.851282,-1.0164355,8,3
Chile,5-14 years,female,-3.3518418042510785,-3.668254499464683,6.837323,-45.769726,8,1
Chile,5-14 years,male,-3.2552392239434598,-3.6663415244716147,6.845739,-45.73645,8,1
Chile,55-74 years,female,-2.5654948430894646,-3.6559405168053583,-0.14998826,-36.670643,8,1
Chile,55-74 years,male,3.347077068553386,-3.5742563705206103,-31.969683,-0.33069375,8,3
Chile,75+ years,female,-2.77590001891471,-3.6559242568305486,-0.2257242,-37.353184,8,1
Chile,75+ years,male,6.117442252861137,-3.677367990052802,-13.690245,0.19500384,8,3
Colombia,15-24 years,female,-2.13370214263861,-4.717526153637714,-9.585221,-53.03964,8,1
Colombia,15-24 years,male,-0.26583039872126457,-4.70357002446846,-38.481533,-18.721478,8,1
Colombia,25-34 years,female,-2.851833717932288,-4.720558071408697,-10.233923,-60.383934,8,1
Colombia,25-34 years,male,-0.4891662943431903,-4.708947765029843,-38.259777,-19.246603,8,1
Colombia,35-54 years,female,-3.0914310758750987,-4.720588124179678,-8.92314,-62.21481,8,1
Colombia,35-54 years,male,-1.1264371185786681,-4.701150802157664,-38.73484,-25.899368,8,1
Colombia,5-14 years,female,-3.2641046045814943,-4.7226829246751905,-7.2931347,-63.651417,8,1
Colombia,5-14 years,male,-3.261227576599243,-4.722327504150122,-7.4818063,-63.038918,8,1
