,country,year,sex,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),generation
708,Argentina,1995,male,75+ years,190,433800,43.8,"258,031,750,000",8232,G.I. Generation
709,Argentina,1995,male,55-74 years,515,2214000,23.26,"258,031,750,000",8232,Silent
710,Argentina,1995,male,35-54 years,485,3787800,12.8,"258,031,750,000",8232,Boomers
711,Argentina,1995,male,25-34 years,218,2404900,9.06,"258,031,750,000",8232,Generation X
712,Argentina,1995,male,15-24 years,277,3112100,8.9,"258,031,750,000",8232,Generation X
713,Argentina,1995,female,75+ years,49,742200,6.6,"258,031,750,000",8232,G.I. Generation
714,Argentina,1995,female,55-74 years,134,2625900,5.1,"258,031,750,000",8232,Silent
715,Argentina,1995,female,35-54 years,139,3950100,3.52,"258,031,750,000",8232,Boomers
716,Argentina,1995,female,15-24 years,101,3053300,3.31,"258,031,750,000",8232,Generation X
717,Argentina,1995,female,25-34 years,62,2396900,2.59,"258,031,750,000",8232,Generation X
718,Argentina,1995,female,5-14 years,19,3261100,0.58,"258,031,750,000",8232,Millenials
719,Argentina,1995,male,5-14 years,15,3363300,0.45,"258,031,750,000",8232,Millenials
720,Argentina,1996,male,75+ years,189,445800,42.4,"272,149,750,000",8563,G.I. Generation
721,Argentina,1996,male,55-74 years,464,2235900,20.75,"272,149,750,000",8563,Silent
722,Argentina,1996,male,35-54 years,524,3847300,13.62,"272,149,750,000",8563,Boomers
723,Argentina,1996,male,25-34 years,226,2442900,9.25,"272,149,750,000",8563,Generation X
724,Argentina,1996,male,15-24 years,280,3185600,8.79,"272,149,750,000",8563,Generation X
725,Argentina,1996,female,75+ years,59,766100,7.7,"272,149,750,000",8563,G.I. Generation
726,Argentina,1996,female,55-74 years,131,2653800,4.94,"272,149,750,000",8563,Silent
727,Argentina,1996,female,35-54 years,176,4014100,4.38,"272,149,750,000",8563,Boomers
728,Argentina,1996,female,15-24 years,105,3123600,3.36,"272,149,750,000",8563,Generation X
729,Argentina,1996,female,25-34 years,52,2428400,2.14,"272,149,750,000",8563,Generation X
730,Argentina,1996,male,5-14 years,14,3370400,0.42,"272,149,750,000",8563,Millenials
731,Argentina,1996,female,5-14 years,9,3266800,0.28,"272,149,750,000",8563,Millenials
732,Argentina,1997,male,75+ years,195,490152,39.78,"292,859,000,000",9057,G.I. Generation
733,Argentina,1997,male,55-74 years,457,2252148,20.29,"292,859,000,000",9057,Silent
734,Argentina,1997,male,35-54 years,501,3934581,12.73,"292,859,000,000",9057,Boomers
735,Argentina,1997,male,25-34 years,213,2460112,8.66,"292,859,000,000",9057,Generation X
736,Argentina,1997,male,15-24 years,260,3198193,8.13,"292,859,000,000",9057,Generation X
737,Argentina,1997,female,75+ years,47,854095,5.5,"292,859,000,000",9057,G.I. Generation
738,Argentina,1997,female,55-74 years,131,2668528,4.91,"292,859,000,000",9057,Silent
739,Argentina,1997,female,35-54 years,165,4083427,4.04,"292,859,000,000",9057,Boomers
740,Argentina,1997,female,15-24 years,113,3161000,3.57,"292,859,000,000",9057,Generation X
741,Argentina,1997,female,25-34 years,72,2474330,2.91,"292,859,000,000",9057,Generation X
742,Argentina,1997,male,5-14 years,19,3429860,0.55,"292,859,000,000",9057,Millenials
743,Argentina,1997,female,5-14 years,11,3327355,0.33,"292,859,000,000",9057,Millenials
744,Argentina,1998,male,75+ years,201,504164,39.87,"298,948,250,000",9126,G.I. Generation
745,Argentina,1998,male,55-74 years,518,2274972,22.77,"298,948,250,000",9126,Silent
746,Argentina,1998,male,35-54 years,508,3990829,12.73,"298,948,250,000",9126,Boomers
747,Argentina,1998,male,15-24 years,327,3243944,10.08,"298,948,250,000",9126,Generation X
748,Argentina,1998,male,25-34 years,251,2497189,10.05,"298,948,250,000",9126,Generation X
749,Argentina,1998,female,75+ years,53,883724,6.0,"298,948,250,000",9126,G.I. Generation
750,Argentina,1998,female,55-74 years,140,2696429,5.19,"298,948,250,000",9126,Silent
751,Argentina,1998,female,15-24 years,114,3200362,3.56,"298,948,250,000",9126,Generation X
752,Argentina,1998,female,35-54 years,147,4143203,3.55,"298,948,250,000",9126,Boomers
753,Argentina,1998,female,25-34 years,52,2512005,2.07,"298,948,250,000",9126,Generation X
754,Argentina,1998,female,5-14 years,20,3353473,0.6,"298,948,250,000",9126,Millenials
755,Argentina,1998,male,5-14 years,16,3456965,0.46,"298,948,250,000",9126,Millenials
756,Argentina,1999,male,75+ years,204,515800,39.55,"283,523,000,000",8546,G.I. Generation
757,Argentina,1999,male,55-74 years,540,2301840,23.46,"283,523,000,000",8546,Silent
758,Argentina,1999,male,35-54 years,545,4045105,13.47,"283,523,000,000",8546,Boomers
759,Argentina,1999,male,15-24 years,355,3279728,10.82,"283,523,000,000",8546,Generation X
760,Argentina,1999,male,25-34 years,265,2543861,10.42,"283,523,000,000",8546,Generation X
761,Argentina,1999,female,55-74 years,137,2727054,5.02,"283,523,000,000",8546,Silent
762,Argentina,1999,female,75+ years,44,912898,4.82,"283,523,000,000",8546,G.I. Generation
763,Argentina,1999,female,35-54 years,141,4200203,3.36,"283,523,000,000",8546,Boomers
764,Argentina,1999,female,15-24 years,101,3229424,3.13,"283,523,000,000",8546,Generation X
765,Argentina,1999,female,25-34 years,50,2559176,1.95,"283,523,000,000",8546,Generation X
766,Argentina,1999,male,5-14 years,21,3482230,0.6,"283,523,000,000",8546,Millenials
767,Argentina,1999,female,5-14 years,20,3377543,0.59,"283,523,000,000",8546,Millenials
768,Argentina,2000,male,75+ years,232,525161,44.18,"284,203,750,000",8462,G.I. Generation
769,Argentina,2000,male,55-74 years,602,2333377,25.8,"284,203,750,000",8462,Silent
770,Argentina,2000,male,35-54 years,578,4096814,14.11,"284,203,750,000",8462,Boomers
771,Argentina,2000,male,15-24 years,463,3306109,14.0,"284,203,750,000",8462,Generation X
772,Argentina,2000,male,25-34 years,331,2602314,12.72,"284,203,750,000",8462,Generation X
773,Argentina,2000,female,55-74 years,133,2760512,4.82,"284,203,750,000",8462,Silent
774,Argentina,2000,female,75+ years,43,941957,4.56,"284,203,750,000",8462,G.I. Generation
